Date,Time,Location,Store,Address
17 May,1415h to 1520h,Jurong Point,Yue Hwa Chinese Products,1 Jurong West Central 2
17 May,1505h to 2100h,Westgate,Pizza Hut,3 Gateway Drive
17 May,1530h to 1615h,Sun Plaza,NTUC FairPrice,30 Sembawang Drive
17 May,1940h to 2015h,West Mall,,1 Bukit Batok Central Link
17 May,2025h to 2105h,Viva Business Park,Decathlon Bedok,750A Chai Chee Road
18 May,0730h to 2000h,Westgate,Fun Toast,3 Westgate Drive
18 May,1115h to 1220h,Geylang Serai Malay Market and Food Centre,,1 Geylang Serai
18 May,1315h to 1400h,White Sands,NTUC FairPrice,1 Pasir Ris Central Street 3
18 May,1515h to 2100h,Westgate,Pizza Hut,3 Gateway Drive
18 May,1755h to 1835h,Madam Fang Hairdressing & Beauty Salon 1989,,510 Bedok North Street 3
18 May,1800h to 1845h,Giant @ IMM,Giant Hypermarket,2 Jurong East Street 21
19 to 21 May,0930h to 2130h,Holland Piazza,Tiger Sugar,3 Lorong Liput
19 May,1030h to 2000h,Westgate,Fun Toast,3 Westgate Drive
19 May,1420h to 1525h,Woodlands Civic Centre,Workforce Singapore's Careers Connect,900 South Woodlands Drive
19 May,1515h to 1550h,Causeway Point,Tonkotsu Hototogisu,1 Woodlands Square
19 May,1520h to 2100h,Westgate,Pizza Hut,3 Gateway Drive
19 May,1600h to 2300h,Punggol Plaza,,168 Punggol Field
19 May,1745h to 1830h,Westgate,RedMan by Phoon Huat,3 Gateway Drive
20 May,1150h to 1225h,Prime Supermarket,,373 Bukit Batok Street 31
20 May,1340h to 1510h,Kaki Bukit Recreation Centre,POSB Account Services Centre,7 Kaki Bukit Avenue 3
20 May,1420h to 1520h,ION Orchard,FLNT at 1-ATICO,2 Orchard Turn
20 May,1510h to 2100h,Westgate,Pizza Hut,3 Gateway Drive
20 May,1600h to 2300h,Punggol Plaza,,168 Punggol Field
20 May,1700h to 2200h,Poke Theory,,238 Thomson Road
21 May,0915h to 0950h,Le Quest Mall,FairPrice Finest,4 Bukit Batok Street 41
21 May,1100h to 1600h,Punggol Plaza,,168 Punggol Field
21 May,1105h to 1155h,Al Forno East Coast Pte Ltd,,400 East Coast Road
21 May,1415h to 1500h,POSB Bukit Batok Central Branch,,636 Bukit Batok Central
21 May,1445h to 2100h,Westgate,Pizza Hut,3 Gateway Drive
21 May,1515h to 1600h,JEM,FairPrice Xtra,50 Jurong Gateway Road
21 May,1600h to 1635h,Da Jin Factory Building,,362 Upper Paya Lebar Road
21 May,1720h to 1755h,NTP+,"The Social Alley, Singapore",151 Lorong Chuan
21 May,1820h to 1900h,Keat Hong Shopping Centre,KFC,253 Choa Chu Kang Avenue 1
21 May,1905h to 1940h,VivoCity,DAISO,1 HarbourFront Walk
21 May,1940h to 2010h,VivoCity,Toys'R'Us,1 HarbourFront Walk
22 May,0000h to 0400h,The Woodgrove,McDonald's,30 Woodlands Avenue 1
22 May,0740h to 2000h,West Mall,Subway,1 Bukit Batok Central Link
22 May,1220h to 1300h,Hup Choon Eating House,,1 Binjai Park
22 May,1500h to 2100h,Westgate,Pizza Hut,3 Gateway Drive
22 May,1520h to 1625h,Mustafa Centre,,145 Syed Alwi Road
22 May,1530h to 1630h,Bukit Timah Plaza,FairPrice Finest,1 Jalan Anak Bukit
22 May,1605h to 1700h,KINEX,Eccellente by HAO Mart,11 Tanjong Katong Road
22 May,1620h to 1655h,Le Quest Mall,FairPrice Finest,4 Bukit Batok Street 41
22 May,1705h to 1740h,Lucky Plaza,,304 Orchard Road
22 May,1710h to 1800h,Hafary Pte Ltd,,560 Balestier Road
23 May,1755h to 1830h,Changi City Point,,5 Changi Business Park Central 1
22 May,1900h to 2015h,Lemongrass,,476 Upper Serangoon View
23 May,1955h to 2030h,NEX,FairPrice Xtra,23 Serangoon Central
24 May,0600h to 1500h,The Woodgrove,McDonald's,30 Woodlands Avenue 1
